count,Site,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,Developed High Intensity,"Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Dwarf Scrub,Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Perennial Ice/Snow,Sedge/Herbaceous,Shrub/Scrub,Woody Wetlands,all_developed
204,D17_SOAP_R1_P1_v2,0,0,0,0,0,0,0.11675623701516115,0,0,0,0,0,0,0,0,0,0,0,0.11675623701516115
24,D04_GUIL_A2_P1_v1,0,0,0,0,0,0,0.10749798441279225,0,0,0,0,0,0,0,0,0,0,0,0.10749798441279225
17,D04_CUPE_A1_P1_v1,0,0,0,0,0,0.09941520467836257,0,0,0,0,0,0,0,0,0,0,0,0,0.09941520467836257
1060,D11_BLUE_A2_P1_v1,0,0,0,0,0,0.09747000958148584,0,0,0,0,0,0,0,0,0,0,0,0,0.09747000958148584
428,D14_JORN_R1_P1_v3,0,0,0,0,0,0,0.09024642756986191,0,0,0,0,0,0,0,0,0,0,0,0.09024642756986191
210,D07_MLBS_R1_P1_v5,0,0,0,0,0.08987340688687079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08987340688687079
20,D04_GUIL_A2_P1_v1,0,0,0,0,0,0.08958165367732689,0,0,0,0,0,0,0,0,0,0,0,0,0.08958165367732689
595,D07_GRSM_R1_P1_all_v1,0,0,0,0.08481776297783049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08481776297783049
445,D14_SRER_C1_P1_v3,0,0,0,0,0.07838647172802536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07838647172802536
86,D04_LAJA_R1_P1_v6,0,0,0,0.07748306184229493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07748306184229493
267,D11_OAES_R1_P1_v2,0,0,0,0.07487674782520906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07487674782520906
74,D11_PRIN_C1_P2_v2,0,0,0,0,0,0.06957437406568197,0,0,0,0,0,0,0,0,0,0,0,0,0.06957437406568197
212,D10_RMNP_R2_P1_v1,0,0,0,0,0,0.06636260905223551,0,0,0,0,0,0,0,0,0,0,0,0,0.06636260905223551
98,D08_LENO_R2_P1_v1,0,0,0,0,0.06345177664974619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06345177664974619
263,D03_JERC_R2_P1_v1,0,0,0,0,0,0.06208687440982058,0,0,0,0,0,0,0,0,0,0,0,0,0.06208687440982058
204,D05_UNDE_C1_P1_v1,0,0,0,0,0.06008411776487082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06008411776487082
20,D13_WLOU_A1_P1_v1,0,0,0,0,0.05915934569763659,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05915934569763659
472,D19_DEJU_R1_P1_v2,0,0,0,0,0,0.04471394914167217,0,0,0,0,0,0,0,0,0,0,0,0,0.04471394914167217
37,D05_CHEQ_R2_P1_v2,0,0,0,0,0.04017110720257095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04017110720257095
88,D03_OSBS_C1_P1_v1,0,0,0,0.03555857264656799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03555857264656799
82,D02_BLAN_R2_P1_v1,0,0,0,0.03537990248953704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03537990248953704
416,D19_BONA_C1_P1_v1,0,0,0,0,0,0,0.03450080405119057,0,0,0,0,0,0,0,0,0,0,0,0.03450080405119057
182,D14_SRER_C1_P1_v3,0,0,0,0,0,0.032059186189889025,0,0,0,0,0,0,0,0,0,0,0,0,0.032059186189889025
